ticket_id,summary,description,priority,issue_type,project,component,customer_tier,created_hours,channel,final_team,sla_breach,created_timestamp
1,VPN connection drops repeatedly,the service becomes unreachable every few minutes. The issue is currently affecting several users.,Medium,Network,Platform,Load Balancer,Enterprise,22.45,Chat,L2-Network,Yes,2026-08-29T11:09:04.863699+00:00
2,Printer is unavailable,the issue affects a single employee workstation. The customer has already tried restarting the service.,Medium,Hardware,Workplace IT,Laptop,Standard,10.48,Jira,L1-Hardware,No,2026-08-30T19:48:40.381217+00:00
3,Notification jobs are delayed,logs contain repeated server errors. The issue is currently affecting several users.,Medium,Application,Customer Portal,Notifications,Standard,23.03,Chat,L2-Application,Yes,2026-09-11T14:48:42.033525+00:00
4,Notification jobs are delayed,the application worked yesterday but now fails for multiple users. This started after a recent configuration change.,High,Application,Customer Portal,API,Business,13.21,Portal,L2-Application,Yes,2026-09-03T17:56:10.038620+00:00
5,SSO login returns access denied,the account may have incorrect permissions. The issue is currently affecting several users.,Medium,Access,Identity,Password Reset,Business,9.46,Email,Security,Yes,2026-08-27T05:24:53.143040+00:00
6,Checkout returns an error,customers are unable to complete the workflow. The support team has attached the latest logs.,High,Application,Customer Portal,API,Standard,17.03,Chat,L2-Application,Yes,2026-09-16T17:17:23.579901+00:00
7,Password reset link is invalid,the event should be reviewed for security impact. The support team has attached the latest logs.,Medium,Access,Identity,Password Reset,Enterprise,24.18,Chat,Security,Yes,2026-09-06T00:20:11.519658+00:00
8,MFA challenge is failing,the user receives an access denied response. The problem is reproducible from the production environment.,Low,Access,Identity,MFA,Business,23.67,Jira,Security,Yes,2026-08-23T13:43:47.553589+00:00
9,Search results fail to load,customers are unable to complete the workflow. The support team has attached the latest logs.,Low,Application,Customer Portal,Search,Standard,29.12,Portal,L2-Application,Yes,2026-09-10T21:08:46.710781+00:00
10,Password reset link is invalid,the account may have incorrect permissions. The problem is reproducible from the production environment.,Medium,Access,Identity,Password Reset,Business,34.83,Chat,Security,Yes,2026-08-31T22:11:04.894164+00:00
11,Replication is lagging,the scheduled backup did not complete successfully. The customer has already tried restarting the service.,Low,Database,Data Services,Backup,Enterprise,3.5,Email,L3-Database,No,2026-09-17T21:19:55.983803+00:00
12,API requests return HTTP 500,the UI shows an unexpected error message. This started after a recent configuration change.,Low,Application,Customer Portal,Checkout,Enterprise,5.74,Chat,L2-Application,No,2026-08-23T14:16:23.435145+00:00
13,API requests return HTTP 500,the same request succeeds after a retry. The issue is currently affecting several users.,Medium,Application,Customer Portal,Search,Standard,31.56,Email,L2-Application,Yes,2026-09-15T13:51:06.965533+00:00
14,Docking station disconnects,restarting the device did not resolve the problem. The issue is currently affecting several users.,Medium,Hardware,Workplace IT,Dock,Standard,29.09,Jira,L1-Hardware,Yes,2026-09-18T04:16:02.734272+00:00
15,Database queries are timing out,the issue is affecting reporting and analytics. The support team has attached the latest logs.,High,Database,Data Services,PostgreSQL,Business,11.93,Chat,L3-Database,Yes,2026-09-05T10:53:21.322068+00:00
16,External monitor is not detected,a replacement may be required if troubleshooting fails. The issue is currently affecting several users.,Medium,Hardware,Workplace IT,Monitor,Business,7.61,Portal,L1-Hardware,No,2026-08-31T00:37:14.330238+00:00
17,External monitor is not detected,the issue affects a single employee workstation. The issue is currently affecting several users.,Medium,Hardware,Workplace IT,Monitor,Business,33.53,Email,L1-General,Yes,2026-08-25T01:06:40.525429+00:00
18,External monitor is not detected,restarting the device did not resolve the problem. The problem is reproducible from the production environment.,Low,Hardware,Workplace IT,Printer,Business,14.16,Email,L1-Hardware,No,2026-09-08T21:14:45.519983+00:00
19,Backup job failed overnight,the scheduled backup did not complete successfully. This started after a recent configuration change.,Low,Database,Data Services,Backup,Business,16.94,Jira,L3-Database,Yes,2026-09-04T13:31:05.129188+00:00
20,VPN connection drops repeatedly,users cannot stay connected to the corporate network. The support team has attached the latest logs.,High,Network,Platform,WiFi,Enterprise,23.32,Email,L2-Network,Yes,2026-09-19T13:33:59.002862+00:00
21,Reports are running much slower,replica data is several minutes behind primary. The customer has already tried restarting the service.,Medium,Database,Data Services,Query Engine,Enterprise,22.42,Jira,L3-Database,Yes,2026-09-03T06:51:29.568599+00:00
22,Laptop will not power on,the device worked earlier in the day. The problem is reproducible from the production environment.,Low,Hardware,Workplace IT,Keyboard,Enterprise,4.0,Portal,L2-Network,No,2026-09-01T00:03:34.069701+00:00
23,Laptop will not power on,the peripheral is intermittently unavailable. This started after a recent configuration change.,Medium,Hardware,Workplace IT,Printer,Standard,5.98,Jira,L1-Hardware,No,2026-08-24T10:32:25.782656+00:00
24,MFA challenge is failing,login works for other accounts but not this user. The customer has already tried restarting the service.,High,Access,Identity,SSO,Enterprise,11.3,Jira,Security,Yes,2026-08-23T07:08:21.983084+00:00
25,Reports are running much slower,transactions are waiting longer than expected. The support team has attached the latest logs.,High,Database,Data Services,Query Engine,Business,11.52,Portal,L3-Database,Yes,2026-08-31T02:28:39.181583+00:00
26,Backup job failed overnight,connections remain open after requests finish. This started after a recent configuration change.,High,Database,Data Services,Replication,Standard,2.26,Portal,L3-Database,Yes,2026-09-10T11:08:41.386222+00:00
27,Reports are running much slower,transactions are waiting longer than expected. The issue is currently affecting several users.,High,Database,Data Services,Replication,Standard,34.45,Portal,L3-Database,Yes,2026-09-17T00:04:08.950927+00:00
28,DNS resolution failing for internal service,packets appear to be dropped intermittently. This started after a recent configuration change.,Low,Network,Platform,Load Balancer,Business,1.23,Chat,L2-Network,No,2026-09-09T01:34:05.760405+00:00
29,API requests return HTTP 500,the application worked yesterday but now fails for multiple users. The issue is currently affecting several users.,High,Application,Customer Portal,Authentication,Business,24.68,Portal,L2-Application,Yes,2026-09-13T12:47:42.915223+00:00
30,Database connection pool is exhausted,connections remain open after requests finish. The problem is reproducible from the production environment.,Medium,Database,Data Services,Backup,Standard,34.0,Jira,L3-Database,Yes,2026-08-31T20:59:09.232038+00:00
31,Database queries are timing out,transactions are waiting longer than expected. The problem is reproducible from the production environment.,Medium,Database,Data Services,Replication,Enterprise,17.05,Chat,L3-Database,Yes,2026-09-15T20:31:46.946472+00:00
32,Reports are running much slower,connections remain open after requests finish. This started after a recent configuration change.,High,Database,Data Services,MySQL,Business,31.03,Chat,L3-Database,Yes,2026-09-03T22:00:23.964176+00:00
33,Docking station disconnects,restarting the device did not resolve the problem. The support team has attached the latest logs.,Medium,Hardware,Workplace IT,Monitor,Enterprise,32.2,Email,L1-Hardware,Yes,2026-08-27T12:28:32.321988+00:00
34,DNS resolution failing for internal service,the service becomes unreachable every few minutes. The customer has already tried restarting the service.,Low,Network,Platform,Load Balancer,Enterprise,35.96,Chat,L2-Application,Yes,2026-09-03T04:50:46.701530+00:00
35,User cannot access internal application,the event should be reviewed for security impact. The customer has already tried restarting the service.,Medium,Access,Identity,Password Reset,Business,3.26,Email,Security,No,2026-09-11T01:38:13.873332+00:00
36,API requests return HTTP 500,the UI shows an unexpected error message. This started after a recent configuration change.,High,Application,Customer Portal,Notifications,Enterprise,5.0,Chat,L2-Application,Yes,2026-08-25T23:04:36.874736+00:00
37,User cannot access internal application,the event should be reviewed for security impact. The customer has already tried restarting the service.,Medium,Access,Identity,Password Reset,Standard,6.63,Portal,Security,No,2026-09-16T21:07:02.085717+00:00
38,Replication is lagging,the issue is affecting reporting and analytics. The problem is reproducible from the production environment.,Low,Database,Data Services,Replication,Standard,21.66,Portal,L3-Database,Yes,2026-09-05T20:15:09.978832+00:00
39,MFA challenge is failing,the authentication flow stops before completion. The support team has attached the latest logs.,Low,Access,Identity,MFA,Enterprise,32.76,Chat,Security,Yes,2026-09-09T14:53:30.189395+00:00
40,Laptop will not power on,the device worked earlier in the day. This started after a recent configuration change.,Medium,Hardware,Workplace IT,Laptop,Standard,9.7,Jira,L1-Hardware,No,2026-09-05T04:37:24.657880+00:00
41,Backup job failed overnight,connections remain open after requests finish. The problem is reproducible from the production environment.,High,Database,Data Services,Backup,Enterprise,7.23,Jira,L3-Database,Yes,2026-08-28T14:47:06.772709+00:00
42,SSO login returns access denied,login works for other accounts but not this user. The problem is reproducible from the production environment.,High,Access,Identity,Password Reset,Enterprise,16.01,Portal,Security,Yes,2026-09-12T08:26:47.564362+00:00
43,Database connection pool is exhausted,replica data is several minutes behind primary. The issue is currently affecting several users.,Low,Database,Data Services,Backup,Standard,22.64,Jira,L3-Database,Yes,2026-09-16T16:24:33.692420+00:00
44,Docking station disconnects,the issue affects a single employee workstation. The issue is currently affecting several users.,Medium,Hardware,Workplace IT,Dock,Business,25.85,Chat,L1-Hardware,Yes,2026-08-28T08:47:18.628908+00:00
45,Keyboard stops responding,the peripheral is intermittently unavailable. The customer has already tried restarting the service.,Medium,Hardware,Workplace IT,Dock,Standard,33.24,Email,L1-Hardware,Yes,2026-08-30T07:55:16.379343+00:00
46,Backup job failed overnight,the scheduled backup did not complete successfully. The support team has attached the latest logs.,Medium,Database,Data Services,Query Engine,Enterprise,12.33,Jira,L2-Application,Yes,2026-08-25T19:46:37.053456+00:00
47,Backup job failed overnight,the issue is affecting reporting and analytics. This started after a recent configuration change.,Low,Database,Data Services,MySQL,Enterprise,22.5,Portal,L3-Database,Yes,2026-09-04T05:05:14.443622+00:00
48,Firewall blocks application traffic,the service becomes unreachable every few minutes. The issue is currently affecting several users.,Low,Network,Platform,WiFi,Standard,24.3,Email,L2-Network,Yes,2026-08-30T00:37:21.330193+00:00
49,VPN connection drops repeatedly,the service becomes unreachable every few minutes. The issue is currently affecting several users.,Low,Network,Platform,DNS,Business,26.49,Jira,L2-Network,Yes,2026-09-10T03:25:40.244546+00:00
50,Backup job failed overnight,connections remain open after requests finish. This started after a recent configuration change.,Medium,Database,Data Services,Replication,Standard,1.51,Chat,L3-Database,No,2026-09-09T09:29:04.106616+00:00
51,Search results fail to load,the UI shows an unexpected error message. The problem is reproducible from the production environment.,Medium,Application,Customer Portal,API,Standard,21.03,Jira,L2-Application,Yes,2026-09-01T00:24:40.833719+00:00
52,Unexpected permission change detected,the event should be reviewed for security impact. This started after a recent configuration change.,Medium,Access,Identity,Password Reset,Business,17.71,Email,Security,Yes,2026-08-21T17:09:46.448110+00:00
53,Reports are running much slower,the scheduled backup did not complete successfully. The customer has already tried restarting the service.,High,Database,Data Services,Query Engine,Standard,33.33,Email,L3-Database,Yes,2026-09-14T02:10:36.917844+00:00
54,Docking station disconnects,restarting the device did not resolve the problem. The issue is currently affecting several users.,Low,Hardware,Workplace IT,Keyboard,Business,24.49,Email,L1-Hardware,Yes,2026-09-08T14:53:52.560752+00:00
55,Application page shows a blank screen,the same request succeeds after a retry. The issue is currently affecting several users.,Medium,Application,Customer Portal,Authentication,Standard,2.39,Email,L2-Application,No,2026-09-11T09:36:46.139720+00:00
56,Notification jobs are delayed,the same request succeeds after a retry. The support team has attached the latest logs.,Low,Application,Customer Portal,API,Standard,6.22,Chat,L2-Application,No,2026-09-07T23:07:08.502265+00:00
57,External monitor is not detected,a replacement may be required if troubleshooting fails. This started after a recent configuration change.,High,Hardware,Workplace IT,Keyboard,Enterprise,31.99,Jira,L1-Hardware,Yes,2026-09-15T17:31:35.447593+00:00
58,Search results fail to load,the application worked yesterday but now fails for multiple users. The customer has already tried restarting the service.,Medium,Application,Customer Portal,Checkout,Enterprise,3.59,Jira,L2-Application,No,2026-08-26T20:57:59.437907+00:00
59,VPN connection drops repeatedly,connections fail after authentication. The support team has attached the latest logs.,Low,Network,Platform,WiFi,Standard,7.34,Email,L2-Network,No,2026-08-22T08:13:55.019431+00:00
60,Backup job failed overnight,the scheduled backup did not complete successfully. This started after a recent configuration change.,Low,Database,Data Services,Backup,Enterprise,25.44,Chat,L3-Database,Yes,2026-08-23T07:51:05.154182+00:00
61,Intermittent network connectivity,users cannot stay connected to the corporate network. The customer has already tried restarting the service.,High,Network,Platform,WiFi,Enterprise,12.87,Chat,L2-Network,Yes,2026-09-15T05:12:42.105886+00:00
62,Checkout returns an error,customers are unable to complete the workflow. The problem is reproducible from the production environment.,High,Application,Customer Portal,Search,Business,23.41,Portal,L2-Application,Yes,2026-09-09T10:10:33.524329+00:00
63,Password reset link is invalid,the account may have incorrect permissions. The problem is reproducible from the production environment.,Medium,Access,Identity,MFA,Standard,4.05,Portal,Security,Yes,2026-09-06T16:48:26.299054+00:00
64,Laptop will not power on,the device worked earlier in the day. The support team has attached the latest logs.,Medium,Hardware,Workplace IT,Keyboard,Enterprise,12.58,Jira,L1-Hardware,Yes,2026-08-22T23:43:36.112610+00:00
65,Database queries are timing out,transactions are waiting longer than expected. The issue is currently affecting several users.,Low,Database,Data Services,Query Engine,Business,33.23,Chat,L3-Database,Yes,2026-08-27T09:00:08.819010+00:00
66,External monitor is not detected,the peripheral is intermittently unavailable. The problem is reproducible from the production environment.,Medium,Hardware,Workplace IT,Laptop,Standard,1.15,Portal,L1-Hardware,No,2026-09-12T17:34:36.123699+00:00
67,VPN connection drops repeatedly,requests time out from the office network. The problem is reproducible from the production environment.,High,Network,Platform,Load Balancer,Business,11.19,Email,L2-Network,Yes,2026-09-06T07:41:53.848093+00:00
68,SSO login returns access denied,the user receives an access denied response. The support team has attached the latest logs.,Low,Access,Identity,MFA,Standard,9.12,Chat,Security,No,2026-09-02T17:30:38.301633+00:00
69,User cannot access internal application,the account may have incorrect permissions. The customer has already tried restarting the service.,Medium,Access,Identity,Permissions,Business,19.16,Jira,Security,Yes,2026-09-04T17:46:03.991354+00:00
